draw,policy_name,vaccine_uptake,vsly_factor,cost_factor,nmb
10,All Adults (18+),0.95,0.1,0.1,16933721.50475017
10,No Vaccination,0.95,0.1,0.1,1326370839.1023107
1,JCVI Spring 2025 (75+ only),0.8,0.6,0.1,2466737704.1104555
1,Universal (All Ages),0.8,0.6,0.1,2065005168.3399732
1,All Adults (18+),0.8,0.6,0.1,17361042.10551122
1,No Vaccination,0.8,0.6,0.1,6775911552.114255
2,JCVI Spring 2025 (75+ only),0.8,0.6,0.1,2700849367.036274
2,Universal (All Ages),0.8,0.6,0.1,2263842127.2903204
2,All Adults (18+),0.8,0.6,0.1,19019187.681837283
2,No Vaccination,0.8,0.6,0.1,7419193000.392172
3,JCVI Spring 2025 (75+ only),0.8,0.6,0.1,2839161069.5235257
3,Universal (All Ages),0.8,0.6,0.1,2419572511.663874
3,All Adults (18+),0.8,0.6,0.1,19823998.117737517
3,No Vaccination,0.8,0.6,0.1,7795940503.184694
4,JCVI Spring 2025 (75+ only),0.8,0.6,0.1,2506483674.184102
4,Universal (All Ages),0.8,0.6,0.1,2058587149.862273
4,All Adults (18+),0.8,0.6,0.1,17566292.27695729
4,No Vaccination,0.8,0.6,0.1,6883684527.548715
5,JCVI Spring 2025 (75+ only),0.8,0.6,0.1,2817271240.9760532
5,Universal (All Ages),0.8,0.6,0.1,2363060144.992369
5,All Adults (18+),0.8,0.6,0.1,19680331.287148084
5,No Vaccination,0.8,0.6,0.1,7736007250.294657
6,JCVI Spring 2025 (75+ only),0.8,0.6,0.1,3325352195.681012
6,Universal (All Ages),0.8,0.6,0.1,2800153636.088051
6,All Adults (18+),0.8,0.6,0.1,23112820.051368214
6,No Vaccination,0.8,0.6,0.1,9128954357.466875
7,JCVI Spring 2025 (75+ only),0.8,0.6,0.1,2927003129.768875
7,Universal (All Ages),0.8,0.6,0.1,2475204934.622882
7,All Adults (18+),0.8,0.6,0.1,20409607.680825483
7,No Vaccination,0.8,0.6,0.1,8036619145.383246
8,JCVI Spring 2025 (75+ only),0.8,0.6,0.1,2588116063.7863965
8,Universal (All Ages),0.8,0.6,0.1,2190086129.0434613
8,All Adults (18+),0.8,0.6,0.1,18068410.49360386
8,No Vaccination,0.8,0.6,0.1,7106554861.549473
9,JCVI Spring 2025 (75+ only),0.8,0.6,0.1,2441194346.971823
9,Universal (All Ages),0.8,0.6,0.1,2080491787.2393107
9,All Adults (18+),0.8,0.6,0.1,17137663.451821517
9,No Vaccination,0.8,0.6,0.1,6704923295.087882
10,JCVI Spring 2025 (75+ only),0.8,0.6,0.1,2730382609.821586
10,Universal (All Ages),0.8,0.6,0.1,2323577851.660575
10,All Adults (18+),0.8,0.6,0.1,19195972.88729719
10,No Vaccination,0.8,0.6,0.1,7499731823.0048065
1,JCVI Spring 2025 (75+ only),0.9,0.6,0.1,2466737704.1104555
1,Universal (All Ages),0.9,0.6,0.1,1476141870.3681889
1,All Adults (18+),0.9,0.6,0.1,17361042.10551122
