policy_name,vaccine_uptake,infection_rate,vaccine_efficacy,vsly_factor,cost_factor,nmb
No Vaccination,0.8,0.0361,central,1.1,0.1,13378595393.093246
JCVI Spring 2025 (75+ only),0.9,0.0361,central,1.1,0.1,4866602862.808617
Universal (All Ages),0.9,0.0361,central,1.1,0.1,3022301003.3635936
All Adults (18+),0.9,0.0361,central,1.1,0.1,20907029.142324716
No Vaccination,0.9,0.0361,central,1.1,0.1,13378595393.093246
JCVI Spring 2025 (75+ only),0.95,0.0361,central,1.1,0.1,4866602862.808617
Universal (All Ages),0.95,0.0361,central,1.1,0.1,2446951315.04528
All Adults (18+),0.95,0.0361,central,1.1,0.1,20907029.142324716
No Vaccination,0.95,0.0361,central,1.1,0.1,13378595393.093246
JCVI Spring 2025 (75+ only),0.8,0.0361,central,1.2000000000000002,0.1,5305825961.410873
Universal (All Ages),0.8,0.0361,central,1.2000000000000002,0.1,4560230594.772894
All Adults (18+),0.8,0.0361,central,1.2000000000000002,0.1,21350068.02618313
No Vaccination,0.8,0.0361,central,1.2000000000000002,0.1,14587585243.232668
JCVI Spring 2025 (75+ only),0.9,0.0361,central,1.2000000000000002,0.1,5305825961.410873
Universal (All Ages),0.9,0.0361,central,1.2000000000000002,0.1,3306811263.7154217
All Adults (18+),0.9,0.0361,central,1.2000000000000002,0.1,21350068.02618313
No Vaccination,0.9,0.0361,central,1.2000000000000002,0.1,14587585243.232668
JCVI Spring 2025 (75+ only),0.95,0.0361,central,1.2000000000000002,0.1,5305825961.410873
Universal (All Ages),0.95,0.0361,central,1.2000000000000002,0.1,2680101598.1866865
All Adults (18+),0.95,0.0361,central,1.2000000000000002,0.1,21350068.02618313
No Vaccination,0.95,0.0361,central,1.2000000000000002,0.1,14587585243.232668
JCVI Spring 2025 (75+ only),0.8,0.0361,central,1.3000000000000003,0.1,5745049060.01313
Universal (All Ages),0.8,0.0361,central,1.3000000000000003,0.1,4947460809.545566
All Adults (18+),0.8,0.0361,central,1.3000000000000003,0.1,21793106.91004154
No Vaccination,0.8,0.0361,central,1.3000000000000003,0.1,15796575093.37209
JCVI Spring 2025 (75+ only),0.9,0.0361,central,1.3000000000000003,0.1,5745049060.01313
Universal (All Ages),0.9,0.0361,central,1.3000000000000003,0.1,3591321524.0672503
All Adults (18+),0.9,0.0361,central,1.3000000000000003,0.1,21793106.91004154
No Vaccination,0.9,0.0361,central,1.3000000000000003,0.1,15796575093.37209
JCVI Spring 2025 (75+ only),0.95,0.0361,central,1.3000000000000003,0.1,5745049060.01313
Universal (All Ages),0.95,0.0361,central,1.3000000000000003,0.1,2913251881.328093
All Adults (18+),0.95,0.0361,central,1.3000000000000003,0.1,21793106.91004154
No Vaccination,0.95,0.0361,central,1.3000000000000003,0.1,15796575093.37209
JCVI Spring 2025 (75+ only),0.8,0.0361,central,1.4000000000000001,0.1,6184272158.615386
Universal (All Ages),0.8,0.0361,central,1.4000000000000001,0.1,5334691024.318237
All Adults (18+),0.8,0.0361,central,1.4000000000000001,0.1,22236145.79389995
No Vaccination,0.8,0.0361,central,1.4000000000000001,0.1,17005564943.51151
JCVI Spring 2025 (75+ only),0.9,0.0361,central,1.4000000000000001,0.1,6184272158.615386
Universal (All Ages),0.9,0.0361,central,1.4000000000000001,0.1,3875831784.4190784
All Adults (18+),0.9,0.0361,central,1.4000000000000001,0.1,22236145.79389995
No Vaccination,0.9,0.0361,central,1.4000000000000001,0.1,17005564943.51151
JCVI Spring 2025 (75+ only),0.95,0.0361,central,1.4000000000000001,0.1,6184272158.615386
Universal (All Ages),0.95,0.0361,central,1.4000000000000001,0.1,3146402164.469499
All Adults (18+),0.95,0.0361,central,1.4000000000000001,0.1,22236145.79389995
No Vaccination,0.95,0.0361,central,1.4000000000000001,0.1,17005564943.51151
JCVI Spring 2025 (75+ only),0.8,0.0361,central,1.5000000000000002,0.1,6623495257.217642
Universal (All Ages),0.8,0.0361,central,1.5000000000000002,0.1,5721921239.090909
All Adults (18+),0.8,0.0361,central,1.5000000000000002,0.1,22679184.67775836
No Vaccination,0.8,0.0361,central,1.5000000000000002,0.1,18214554793.65093
JCVI Spring 2025 (75+ only),0.9,0.0361,central,1.5000000000000002,0.1,6623495257.217642
Universal (All Ages),0.9,0.0361,central,1.5000000000000002,0.1,4160342044.7709064
All Adults (18+),0.9,0.0361,central,1.5000000000000002,0.1,22679184.67775836
No Vaccination,0.9,0.0361,central,1.5000000000000002,0.1,18214554793.65093
JCVI Spring 2025 (75+ only),0.95,0.0361,central,1.5000000000000002,0.1,6623495257.217642
Universal (All Ages),0.95,0.0361,central,1.5000000000000002,0.1,3379552447.6109056
All Adults (18+),0.95,0.0361,central,1.5000000000000002,0.1,22679184.67775836
No Vaccination,0.95,0.0361,central,1.5000000000000002,0.1,18214554793.65093
JCVI Spring 2025 (75+ only),0.8,0.0361,central,1.6,0.1,7062718355.819897
Universal (All Ages),0.8,0.0361,central,1.6,0.1,6109151453.86358
All Adults (18+),0.8,0.0361,central,1.6,0.1,23122223.56161677
No Vaccination,0.8,0.0361,central,1.6,0.1,19423544643.790348
JCVI Spring 2025 (75+ only),0.9,0.0361,central,1.6,0.1,7062718355.819897
Universal (All Ages),0.9,0.0361,central,1.6,0.1,4444852305.122734
All Adults (18+),0.9,0.0361,central,1.6,0.1,23122223.56161677
No Vaccination,0.9,0.0361,central,1.6,0.1,19423544643.790348
JCVI Spring 2025 (75+ only),0.95,0.0361,central,1.6,0.1,7062718355.819897
Universal (All Ages),0.95,0.0361,central,1.6,0.1,3612702730.7523117
All Adults (18+),0.95,0.0361,central,1.6,0.1,23122223.56161677
No Vaccination,0.95,0.0361,central,1.6,0.1,19423544643.790348
JCVI Spring 2025 (75+ only),0.8,0.0361,central,1.7000000000000002,0.1,7501941454.422153
Universal (All Ages),0.8,0.0361,central,1.7000000000000002,0.1,6496381668.636252
All Adults (18+),0.8,0.0361,central,1.7000000000000002,0.1,23565262.44547518
No Vaccination,0.8,0.0361,central,1.7000000000000002,0.1,20632534493.92977
JCVI Spring 2025 (75+ only),0.9,0.0361,central,1.7000000000000002,0.1,7501941454.422153
Universal (All Ages),0.9,0.0361,central,1.7000000000000002,0.1,4729362565.474563
All Adults (18+),0.9,0.0361,central,1.7000000000000002,0.1,23565262.44547518
No Vaccination,0.9,0.0361,central,1.7000000000000002,0.1,20632534493.92977
JCVI Spring 2025 (75+ only),0.95,0.0361,central,1.7000000000000002,0.1,7501941454.422153
Universal (All Ages),0.95,0.0361,central,1.7000000000000002,0.1,3845853013.8937182
All Adults (18+),0.95,0.0361,central,1.7000000000000002,0.1,23565262.44547518
No Vaccination,0.95,0.0361,central,1.7000000000000002,0.1,20632534493.92977
JCVI Spring 2025 (75+ only),0.8,0.0361,central,1.8000000000000003,0.1,7941164553.02441
Universal (All Ages),0.8,0.0361,central,1.8000000000000003,0.1,6883611883.408924
All Adults (18+),0.8,0.0361,central,1.8000000000000003,0.1,24008301.32933359
No Vaccination,0.8,0.0361,central,1.8000000000000003,0.1,21841524344.06919
